PIN,XC3S700AFG400,BANK,TYPE,DIFF_PAIR,ROW,COLUMN
C9,IO_L19N_0,0,I/O,TRUE,C,9
C10,IO_L16N_0/GCLK7,0,GCLK,TRUE,C,10
C11,IO_L14N_0,0,I/O,TRUE,C,11
C12,IO_L11N_0,0,I/O,TRUE,C,12
C13,IO_L10N_0/VREF_0,0,VREF,TRUE,C,13
C14,IO_L07P_0,0,I/O,TRUE,C,14
C15,IO_L06N_0,0,I/O,TRUE,C,15
C16,IO_L05P_0,0,I/O,TRUE,C,16
C17,IO_L02N_0,0,I/O,TRUE,C,17
C18,GND,GND,GND,,C,18
C19,IO_L37N_1/A23,1,DUAL,TRUE,C,19
C20,IO_L37P_1/A22,1,DUAL,TRUE,C,20
D1,IO_L05P_3,3,I/O,TRUE,D,1
D2,IO_L03N_3,3,I/O,TRUE,D,2
D3,IO_L01N_3,3,I/O,TRUE,D,3
D4,IO_L01P_3,3,I/O,TRUE,D,4
D5,PROG_B,VCCAUX,CONFIG,,D,5
D6,IO_L28N_0,0,I/O,TRUE,D,6
D7,VCCO_0,0,VCCO,,D,7
D8,IO_L21N_0,0,I/O,TRUE,D,8
D9,GND,GND,GND,,D,9
D10,IO_L17P_0/GCLK8,0,GCLK,TRUE,D,10
D11,IO_L15P_0/GCLK4,0,GCLK,TRUE,D,11
D12,IO_L12P_0,0,I/O,TRUE,D,12
D13,VCCO_0,0,VCCO,,D,13
D14,IO_L10P_0,0,I/O,TRUE,D,14
D15,IO_L06P_0,0,I/O,TRUE,D,15
D16,IO_L03P_0,0,I/O,TRUE,D,16
D17,IO_L02P_0/VREF_0,0,VREF,TRUE,D,17
D18,IO_L34N_1,1,I/O,TRUE,D,18
D19,VCCO_1,1,VCCO,,D,19
D20,IO_L34P_1,1,I/O,TRUE,D,20
E1,IO_L05N_3,3,I/O,TRUE,E,1
E2,VCCO_3,3,VCCO,,E,2
E3,IO_L10P_3,3,I/O,TRUE,E,3
E4,TMS,VCCAUX,JTAG,,E,4
E5,GND,GND,GND,,E,5
E6,IO_L31P_0,0,I/O,TRUE,E,6
E7,IO_L27P_0,0,I/O,TRUE,E,7
E8,IO_L23P_0,0,I/O,TRUE,E,8
E9,IO_L22P_0,0,I/O,TRUE,E,9
E10,IO_L17N_0/GCLK9,0,GCLK,TRUE,E,10
E11,IO_L15N_0/GCLK5,0,GCLK,TRUE,E,11
E12,GND,GND,GND,,E,12
E13,IO_L09P_0,0,I/O,TRUE,E,13
E14,IP_0,0,INPUT,,E,14
E15,IO_L03N_0,0,I/O,TRUE,E,15
E16,VCCAUX,VCCAUX,VCCAUX,,E,16
E17,TDO,VCCAUX,JTAG,,E,17
E18,IO_L33P_1,1,I/O,TRUE,E,18
E19,IO_L32N_1,1,I/O,TRUE,E,19
E20,IO_L32P_1,1,I/O,TRUE,E,20
F1,IO_L13P_3,3,I/O,TRUE,F,1
F2,IO_L10N_3,3,I/O,TRUE,F,2
F3,IO_L09P_3,3,I/O,TRUE,F,3
F4,IO_L06P_3,3,I/O,TRUE,F,4
F5,TDI,VCCAUX,JTAG,,F,5
F6,IO_L31N_0,0,I/O,TRUE,F,6
F7,IO_L27N_0,0,I/O,TRUE,F,7
F8,IO_L23N_0,0,I/O,TRUE,F,8
F9,IO_L22N_0/VREF_0,0,VREF,TRUE,F,9
F10,VCCO_0,0,VCCO,,F,10
F11,IP_0,0,INPUT,,F,11
F12,IO_L12N_0,0,I/O,TRUE,F,12
F13,IO_L09N_0,0,I/O,TRUE,F,13
F14,IP_0,0,INPUT,,F,14
F15,GND,GND,GND,,F,15
F16,IO_L36N_1/A21,1,DUAL,TRUE,F,16
F17,IO_L33N_1,1,I/O,TRUE,F,17
F18,IO_L30N_1/A19,1,DUAL,TRUE,F,18
F19,IO_L29N_1/A17,1,DUAL,TRUE,F,19
F20,IO_L29P_1/A16,1,DUAL,TRUE,F,20
G1,IO_L13N_3/VREF_3,3,VREF,TRUE,G,1
G2,GND,GND,GND,,G,2
G3,IO_L12P_3,3,I/O,TRUE,G,3
G4,IO_L09N_3,3,I/O,TRUE,G,4
G5,IO_L06N_3,3,I/O,TRUE,G,5
G6,IP_L04N_3/VREF_3,3,VREF,TRUE,G,6
G7,IP_L04P_3,3,INPUT,TRUE,G,7
G8,IP_0,0,INPUT,,G,8
G9,IP_0,0,INPUT,,G,9
G10,IP_0,0,INPUT,,G,10
G11,IP_0/VREF_0,0,VREF,,G,11
G12,IP_0,0,INPUT,,G,12
G13,IP_0,0,INPUT,,G,13
G14,IP_L39N_1,1,INPUT,TRUE,G,14
G15,IP_L39P_1/VREF_1,1,VREF,TRUE,G,15
G16,IO_L36P_1/A20,1,DUAL,TRUE,G,16
G17,IO_L30P_1/A18,1,DUAL,TRUE,G,17
G18,IO_L28P_1,1,I/O,TRUE,G,18
G19,GND,GND,GND,,G,19
G20,IO_L26N_1/A15,1,DUAL,TRUE,G,20
H1,VCCAUX,VCCAUX,VCCAUX,,H,1
H2,IO_L12N_3,3,I/O,TRUE,H,2
H3,IO_L14N_3,3,I/O,TRUE,H,3
H4,IO_L08N_3,3,I/O,TRUE,H,4
H5,VCCO_3,3,VCCO,,H,5
H6,IO_L08P_3,3,I/O,TRUE,H,6
H7,IP_3,3,INPUT,,H,7
H8,GND,GND,GND,,H,8
H9,IP_0,0,INPUT,,H,9
H10,IP_0,0,INPUT,,H,10
H11,IP_0,0,INPUT,,H,11
H12,IP_0,0,INPUT,,H,12
H13,GND,GND,GND,,H,13
H14,IP_L35N_1,1,INPUT,TRUE,H,14
H15,IP_L35P_1,1,INPUT,TRUE,H,15
H16,VCCO_1,1,VCCO,,H,16
H17,IO_L28N_1,1,I/O,TRUE,H,17
H18,IO_L25N_1/A13,1,DUAL,TRUE,H,18
H19,IO_L25P_1/A12,1,DUAL,TRUE,H,19
H20,IO_L26P_1/A14,1,DUAL,TRUE,H,20
J1,IO_L17P_3/LHCLK0,3,LHCLK,TRUE,J,1
J2,IO_L16N_3,3,I/O,TRUE,J,2
J3,IO_L16P_3,3,I/O,TRUE,J,3
J4,IO_L14P_3,3,I/O,TRUE,J,4
J5,IO_L07N_3,3,I/O,TRUE,J,5
J6,IO_L07P_3,3,I/O,TRUE,J,6
J7,IP_L11N_3/VREF_3,3,VREF,TRUE,J,7
J8,IP_L11P_3,3,INPUT,TRUE,J,8
J9,GND,GND,GND,,J,9
J10,VCCINT,VCCINT,VCCINT,,J,10
J11,GND,GND,GND,,J,11
J12,VCCINT,VCCINT,VCCINT,,J,12
J13,IP_L31N_1,1,INPUT,TRUE,J,13
J14,IP_L31P_1/VREF_1,1,VREF,TRUE,J,14
J15,IP_L27N_1,1,INPUT,TRUE,J,15
J16,IP_L27P_1,1,INPUT,TRUE,J,16
J17,IO_L24P_1,1,I/O,TRUE,J,17
J18,IO_L22N_1/A11,1,DUAL,TRUE,J,18
J19,IO_L22P_1/A10,1,DUAL,TRUE,J,19
J20,IO_L21N_1/RHCLK7,1,RHCLK,TRUE,J,20
K1,GND,GND,GND,,K,1
K2,IO_L17N_3/LHCLK1,3,LHCLK,TRUE,K,2
K3,IO_L18P_3/LHCLK2,3,LHCLK,TRUE,K,3
K4,IO_L20P_3/LHCLK4,3,LHCLK,TRUE,K,4
K5,IP_L19N_3,3,INPUT,TRUE,K,5
K6,IP_L19P_3,3,INPUT,TRUE,K,6
K7,IP_L15N_3,3,INPUT,TRUE,K,7
K8,IP_L15P_3,3,INPUT,TRUE,K,8
K9,VCCINT,VCCINT,VCCINT,,K,9
K10,GND,GND,GND,,K,10
K11,VCCINT,VCCINT,VCCINT,,K,11
K12,GND,GND,GND,,K,12
K13,VCCAUX,VCCAUX,VCCAUX,,K,13
K14,IP_L23N_1,1,INPUT,TRUE,K,14
K15,IP_L23P_1/VREF_1,1,VREF,TRUE,K,15
K16,IO_L24N_1,1,I/O,TRUE,K,16
K17,GND,GND,GND,,K,17
K18,IO_L20P_1/RHCLK4,1,RHCLK,TRUE,K,18
K19,VCCO_1,1,VCCO,,K,19
K20,IO_L21P_1/IRDY1/RHCLK6,1,RHCLK,TRUE,K,20
L1,IO_L21P_3/TRDY2/LHCLK6,3,LHCLK,TRUE,L,1
L2,VCCO_3,3,VCCO,,L,2
L3,IO_L18N_3/IRDY2/LHCLK3,3,LHCLK,TRUE,L,3
L4,GND,GND,GND,,L,4
L5,IO_L20N_3/LHCLK5,3,LHCLK,TRUE,L,5
L6,IP_L23N_3,3,INPUT,TRUE,L,6
L7,IP_L23P_3,3,INPUT,TRUE,L,7
L8,VCCAUX,VCCAUX,VCCAUX,,L,8
L9,GND,GND,GND,,L,9
L10,VCCINT,VCCINT,VCCINT,,L,10
L11,GND,GND,GND,,L,11
L12,VCCINT,VCCINT,VCCINT,,L,12
L13,IP_L19N_1,1,INPUT,TRUE,L,13
L14,IP_L19P_1,1,INPUT,TRUE,L,14
L15,IO_L16P_1/A8,1,DUAL,TRUE,L,15
L16,IO_L16N_1/A9,1,DUAL,TRUE,L,16
L17,IO_L20N_1/RHCLK5,1,RHCLK,TRUE,L,17
L18,IO_L18N_1/TRDY1/RHCLK3,1,RHCLK,TRUE,L,18
L19,IO_L18P_1/RHCLK2,1,RHCLK,TRUE,L,19
L20,GND,GND,GND,,L,20
M1,IO_L21N_3/LHCLK7,3,LHCLK,TRUE,M,1
M2,IO_L22P_3/VREF_3,3,VREF,TRUE,M,2
M3,IO_L22N_3,3,I/O,TRUE,M,3
M4,IO_L24P_3,3,I/O,TRUE,M,4
M5,IO_L24N_3,3,I/O,TRUE,M,5
M6,IP_L31P_3,3,INPUT,TRUE,M,6
M7,IP_L27N_3,3,INPUT,TRUE,M,7
M8,IP_L27P_3,3,INPUT,TRUE,M,8
M9,VCCINT,VCCINT,VCCINT,,M,9
M10,GND,GND,GND,,M,10
M11,VCCINT,VCCINT,VCCINT,,M,11
M12,GND,GND,GND,,M,12
M13,IP_L15N_1,1,INPUT,TRUE,M,13
M14,IP_L15P_1/VREF_1,1,VREF,TRUE,M,14
M15,IP_L11N_1/VREF_1,1,VREF,TRUE,M,15
M16,IP_L11P_1,1,INPUT,TRUE,M,16
M17,IO_L14P_1/A6,1,DUAL,TRUE,M,17
M18,IO_L14N_1/A7,1,DUAL,TRUE,M,18
M19,IO_L17P_1/RHCLK0,1,RHCLK,TRUE,M,19
M20,IO_L17N_1/RHCLK1,1,RHCLK,TRUE,M,20
N1,IO_L25P_3,3,I/O,TRUE,N,1
N2,IO_L25N_3,3,I/O,TRUE,N,2
N3,IO_L26P_3,3,I/O,TRUE,N,3
N4,IO_L26N_3,3,I/O,TRUE,N,4
N5,VCCO_3,3,VCCO,,N,5
N6,IP_L35N_3,3,INPUT,TRUE,N,6
N7,IP_L31N_3,3,INPUT,TRUE,N,7
N8,GND,GND,GND,,N,8
N9,IP_2/VREF_2,2,VREF,,N,9
N10,VCCINT,VCCINT,VCCINT,,N,10
N11,GND,GND,GND,,N,11
N12,IP_2/VREF_2,2,VREF,,N,12
N13,GND,GND,GND,,N,13
N14,IP_1/VREF_1,1,VREF,,N,14
N15,IO_L12P_1/A2,1,DUAL,TRUE,N,15
N16,VCCO_1,1,VCCO,,N,16
N17,IO_L12N_1/A3,1,DUAL,TRUE,N,17
N18,IO_L13P_1/A4,1,DUAL,TRUE,N,18
N19,IO_L13N_1/A5,1,DUAL,TRUE,N,19
N20,VCCAUX,VCCAUX,VCCAUX,,N,20
P1,IO_L28P_3,3,I/O,TRUE,P,1
P2,GND,GND,GND,,P,2
P3,IO_L29P_3,3,I/O,TRUE,P,3
P4,IO_L29N_3,3,I/O,TRUE,P,4
P5,IP_L35P_3,3,INPUT,TRUE,P,5
P6,IP_L39P_3,3,INPUT,TRUE,P,6
P7,IP_L39N_3/VREF_3,3,VREF,TRUE,P,7
P8,IP_2/VREF_2,2,VREF,,P,8
P9,IP_2,2,INPUT,,P,9
P10,IP_2/VREF_2,2,VREF,,P,10
P11,IP_2/VREF_2,2,VREF,,P,11
P12,IP_2,2,INPUT,,P,12
P13,IP_2,2,INPUT,,P,13
P14,IP_L04P_1,1,INPUT,TRUE,P,14
P15,IP_L04N_1/VREF_1,1,VREF,TRUE,P,15
P16,IO_L07P_1,1,I/O,TRUE,P,16
P17,IO_L07N_1,1,I/O,TRUE,P,17
P18,IO_L10P_1,1,I/O,TRUE,P,18
P19,GND,GND,GND,,P,19
P20,IO_L10N_1/VREF_1,1,VREF,TRUE,P,20
R1,IO_L28N_3,3,I/O,TRUE,R,1
R2,IO_L30P_3,3,I/O,TRUE,R,2
R3,IO_L30N_3,3,I/O,TRUE,R,3
R4,IO_L33N_3,3,I/O,TRUE,R,4
R5,IO_L36P_3,3,I/O,TRUE,R,5
R6,GND,GND,GND,,R,6
R7,IO_L04N_2,2,I/O,TRUE,R,7
R8,IP_2,2,INPUT,,R,8
R9,GND,GND,GND,,R,9
R10,IP_2,2,INPUT,,R,10
R11,VCCO_2,2,VCCO,,R,11
R12,IO_L19N_2,2,I/O,TRUE,R,12
R13,IO_L23N_2,2,I/O,TRUE,R,13
R14,IP_2/VREF_2,2,VREF,,R,14
R15,SUSPEND,VCCAUX,PWRMGMT,,R,15
R16,IO_L03N_1/A1,1,DUAL,TRUE,R,16
R17,IO_L08N_1,1,I/O,TRUE,R,17
R18,IO_L08P_1,1,I/O,TRUE,R,18
R19,IO_L09P_1,1,I/O,TRUE,R,19
R20,IO_L09N_1,1,I/O,TRUE,R,20
T1,IO_L32P_3/VREF_3,3,VREF,TRUE,T,1
T2,IO_L32N_3,3,I/O,TRUE,T,2
T3,IO_L33P_3,3,I/O,TRUE,T,3
T4,IO_L36N_3,3,I/O,TRUE,T,4
T5,VCCAUX,VCCAUX,VCCAUX,,T,5
T6,IO_L04P_2,2,I/O,TRUE,T,6
T7,IO_L06P_2,2,I/O,TRUE,T,7
T8,IO_L07P_2/RDWR_B,2,DUAL,TRUE,T,8
T9,IO_L11P_2,2,I/O,TRUE,T,9
T10,IO_L14N_2/D4,2,DUAL,TRUE,T,10
T11,IP_2,2,INPUT,,T,11
T12,IO_L19P_2,2,I/O,TRUE,T,12
T13,IO_L23P_2,2,I/O,TRUE,T,13
T14,IO_L25N_2,2,I/O,TRUE,T,14
T15,IO_L27N_2,2,I/O,TRUE,T,15
T16,GND,GND,GND,,T,16
T17,IO_L03P_1/A0,1,DUAL,TRUE,T,17
T18,IO_L05P_1,1,I/O,TRUE,T,18
T19,VCCO_1,1,VCCO,,T,19
T20,IO_L05N_1,1,I/O,TRUE,T,20
U1,IO_L34P_3,3,I/O,TRUE,U,1
U2,VCCO_3,3,VCCO,,U,2
U3,IO_L34N_3,3,I/O,TRUE,U,3
U4,IO_L01P_2/M1,2,DUAL,TRUE,U,4
U5,IO_L05N_2,2,I/O,TRUE,U,5
U6,IO_L06N_2,2,I/O,TRUE,U,6
U7,IO_L07N_2/VS2,2,DUAL,TRUE,U,7
U8,VCCO_2,2,VCCO,,U,8
U9,IO_L11N_2,2,I/O,TRUE,U,9
U10,IO_L14P_2/D5,2,DUAL,TRUE,U,10
U11,IO_L18P_2/GCLK2,2,GCLK,TRUE,U,11
U12,GND,GND,GND,,U,12
U13,IO_L22P_2/AWAKE,2,PWRMGMT,TRUE,U,13
U14,VCCO_2,2,VCCO,,U,14
U15,IO_L27P_2,2,I/O,TRUE,U,15
U16,IO_L29N_2,2,I/O,TRUE,U,16
U17,IO_L31N_2,2,I/O,TRUE,U,17
U18,IO_L02N_1/LDC0,1,DUAL,TRUE,U,18
U19,IO_L06P_1,1,I/O,TRUE,U,19
U20,IO_L06N_1,1,I/O,TRUE,U,20
V1,IO_L37P_3,3,I/O,TRUE,V,1
V2,IO_L37N_3,3,I/O,TRUE,V,2
V3,GND,GND,GND,,V,3
V4,IO_L01N_2/M0,2,DUAL,TRUE,V,4
V5,IO_L05P_2,2,I/O,TRUE,V,5
V6,IO_L09P_2/VS1,2,DUAL,TRUE,V,6
V7,IO_L12P_2/D7,2,DUAL,TRUE,V,7
V8,IO_L13P_2,2,I/O,TRUE,V,8
V9,IO_L13N_2,2,I/O,TRUE,V,9
V10,IO_L16P_2/GCLK14,2,GCLK,TRUE,V,10
V11,IO_L17N_2/GCLK1,2,GCLK,TRUE,V,11
V12,IO_L18N_2/GCLK3,2,GCLK,TRUE,V,12
V13,IO_L22N_2/DOUT,2,DUAL,TRUE,V,13
V14,IO_L25P_2,2,I/O,TRUE,V,14
V15,IO_L26N_2/D1,2,DUAL,TRUE,V,15
V16,IO_L29P_2,2,I/O,TRUE,V,16
V17,IO_L31P_2,2,I/O,TRUE,V,17
V18,GND,GND,GND,,V,18
V19,IO_L02P_1/LDC1,1,DUAL,TRUE,V,19
V20,IO_L01N_1/LDC2,1,DUAL,TRUE,V,20
W1,IO_L38P_3,3,I/O,TRUE,W,1
W2,IO_L38N_3,3,I/O,TRUE,W,2
W3,IO_L02P_2/M2,2,DUAL,TRUE,W,3
W4,IO_L03N_2,2,I/O,TRUE,W,4
W5,VCCO_2,2,VCCO,,W,5
W6,IO_L09N_2/VS0,2,DUAL,TRUE,W,6
W7,GND,GND,GND,,W,7
W8,IO_L12N_2/D6,2,DUAL,TRUE,W,8
W9,IO_L15P_2/GCLK12,2,GCLK,TRUE,W,9
W10,IO_L16N_2/GCLK15,2,GCLK,TRUE,W,10
W11,VCCO_2,2,VCCO,,W,11
W12,IO_L20N_2/MOSI/CSI_B,2,DUAL,TRUE,W,12
W13,IO_L21N_2,2,I/O,TRUE,W,13
W14,IO_L24N_2/D3,2,DUAL,TRUE,W,14
W15,GND,GND,GND,,W,15
W16,IO_L28N_2,2,I/O,TRUE,W,16
W17,VCCO_2,2,VCCO,,W,17
W18,IO_L32P_2/D0/DIN/MISO,2,DUAL,TRUE,W,18
W19,DONE,VCCAUX,CONFIG,,W,19
W20,IO_L01P_1/HDC,1,DUAL,TRUE,W,20
Y1,GND,GND,GND,,Y,1
Y2,IO_L02N_2/CSO_B,2,DUAL,TRUE,Y,2
Y3,IO_L03P_2,2,I/O,TRUE,Y,3
Y4,IO_L08P_2,2,I/O,TRUE,Y,4
Y5,IO_L08N_2,2,I/O,TRUE,Y,5
Y6,IO_L10P_2,2,I/O,TRUE,Y,6
Y7,IO_L10N_2,2,I/O,TRUE,Y,7
Y8,VCCAUX,VCCAUX,VCCAUX,,Y,8
Y9,IO_L15N_2/GCLK13,2,GCLK,TRUE,Y,9
Y10,GND,GND,GND,,Y,10
Y11,IO_L17P_2/GCLK0,2,GCLK,TRUE,Y,11
Y12,IO_L20P_2,2,I/O,TRUE,Y,12
Y13,IO_L21P_2,2,I/O,TRUE,Y,13
Y14,IO_L24P_2/INIT_B,2,DUAL,TRUE,Y,14
Y15,IO_L26P_2/D2,2,DUAL,TRUE,Y,15
Y16,IO_L28P_2,2,I/O,TRUE,Y,16
Y17,IO_L30P_2,2,I/O,TRUE,Y,17
Y18,IO_L30N_2,2,I/O,TRUE,Y,18
Y19,IO_L32N_2/CCLK,2,DUAL,TRUE,Y,19
Y20,GND,GND,GND,,Y,20
